,МАРКА,t вып-обр,t обработка,t под током,t продувка,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2,isna_SiO2,isna_Al2O3
4336,Э76ХФ,42.0,42.85,19.716666699999998,42.85,0.33205300000000004,0.079524,0.034992,0.084024,0.0386398,1566.0,1587.0,14.013535599999999,12887.5739645,113.0,1.0,20.016,0.07899999999999999,0.05,0.35100000000000003,0.024,0.02,0.04872,0.11599999999999999,0.052000000000000005,0.141,4235.0,0.002,0.47700000000000004,0.35,0.105,0.76,0.012,0.012,0.078,0.013000000000000001,0.017,0.48,0.002,0.004,0.004,0.77,0.0005,0.41700000000000004,0.10300000000000001,0.787,0.011000000000000001,0.013000000000000001,0.078,0.015,0.013000000000000001,0.5660000000000001,0.003,0.038,3.3,38.2,0.9,6.1,0.13,2.5,15.3,5.5,53.3,0.6,7.0,0.07,2.6,20.7,False,False
4337,Э76ХФ,42.0,44.8833333,22.5,44.8833333,0.292956,0.113928,0.072701,0.079809,0.039012599999999995,1552.0,1570.0,14.6580022,12802.6666667,116.1,1.0,21.93,0.07999999999999999,0.05,0.295,0.03,0.02,0.04919,0.09300000000000001,0.11199999999999999,0.20199999999999999,4801.0,0.002,0.502,0.321,0.08900000000000001,0.731,0.006,0.011000000000000001,0.064,0.013999999999999999,0.017,0.491,0.002,0.004,0.003,0.7509999999999999,0.0001,0.418,0.087,0.787,0.005,0.012,0.064,0.015,0.013999999999999999,0.5720000000000001,0.004,0.037000000000000005,3.5,51.8,0.3,6.5,0.08,2.9,17.6,5.3,53.5,0.5,5.8,0.06,2.8,19.4,False,False
4338,Э76ХФ,21.0,40.533333299999995,18.6333333,40.533333299999995,0.36977600000000005,0.102648,0.147251,0.11019300000000001,0.0386398,1568.0,1577.0,12.554852,12973.5241503,114.0,1.0,16.963,0.147,0.05,0.389,0.031,0.02,0.04872,0.10800000000000001,0.22899999999999998,0.182,4029.0,0.002,0.456,0.33,0.1,0.657,0.006,0.012,0.066,0.01,0.019,0.465,0.002,0.003,0.003,0.762,0.0001,0.418,0.099,0.7859999999999999,0.005,0.011000000000000001,0.065,0.011000000000000001,0.013999999999999999,0.573,0.003,0.036000000000000004,4.2,48.4,0.6,8.1,0.11,2.6,18.5,5.4,59.2,1.0,7.3,0.07,2.6,22.7,False,False
4339,Э76ХФ,19.0,41.55,19.15,41.55,0.35893800000000003,0.110544,0.074436,0.07389,0.0382956,1581.0,1575.0,13.007942199999999,12626.6318538,112.7,1.0,18.016,0.052,0.05,0.377,0.03,0.02,0.048286,0.083,0.115,0.196,4030.0,0.002,0.45399999999999996,0.321,0.095,0.722,0.006,0.01,0.068,0.013000000000000001,0.017,0.488,0.002,0.004,0.003,0.7759999999999999,0.0003,0.41700000000000004,0.09,0.78,0.005,0.012,0.067,0.013999999999999999,0.009000000000000001,0.546,0.003,0.036000000000000004,2.8,42.8,0.7,5.9,0.11,2.6,16.2,4.7,56.3,0.5,12.8,0.14,2.3,25.0,False,False
4341,Э76ХФ,87.0,61.9,19.5,61.9,0.097846,0.130848,0.123144,0.080424,0.0393282,1581.0,1594.0,12.758481399999999,12535.3846154,113.1,1.0,26.325,0.06399999999999999,0.02,0.075,0.0,0.02,0.049588,0.07200000000000001,0.192,0.23199999999999998,4074.0,0.002,0.511,0.305,0.102,0.685,0.006999999999999999,0.012,0.064,0.009000000000000001,0.013000000000000001,0.499,0.003,0.004,0.004,0.77,0.0005,0.41700000000000004,0.102,0.782,0.006,0.011000000000000001,0.065,0.01,0.011000000000000001,0.5660000000000001,0.004,0.038,4.3,63.4,0.5,6.6,0.09,2.8,22.4,3.6,52.5,0.4,5.9,0.06,2.6,20.1,False,False
4342,Э76ХФ,19.0,48.3833333,25.216666699999998,48.3833333,0.36937,0.14664000000000002,0.185901,0.11776500000000001,0.0382092,1562.0,1592.0,14.576093700000001,13127.032386,113.2,1.0,23.508000000000003,0.07899999999999999,0.05,0.379,0.04,0.02,0.048177,0.10300000000000001,0.29,0.26,5517.0,0.002,0.397,0.289,0.11900000000000001,0.62,0.006999999999999999,0.012,0.078,0.006999999999999999,0.018000000000000002,0.457,0.002,0.003,0.003,0.7659999999999999,0.0001,0.413,0.11699999999999999,0.7809999999999999,0.006,0.013999999999999999,0.078,0.008,0.011000000000000001,0.546,0.003,0.036000000000000004,4.7,58.7,0.6,12.5,0.13,2.6,23.0,4.3,50.1,0.7,7.1,0.08,2.5,20.1,False,False
4343,Э76ХФ,20.0,50.05,22.6666667,50.05,0.42832299999999995,0.147204,0.177799,0.121269,0.039967199999999994,1577.0,1571.0,9.933715800000002,12867.3529412,116.6,1.0,16.352,0.07400000000000001,0.05,0.452,0.040999999999999995,0.02,0.050166,0.11199999999999999,0.27699999999999997,0.261,4861.0,0.001,0.436,0.294,0.11199999999999999,0.626,0.006999999999999999,0.011000000000000001,0.071,0.009000000000000001,0.019,0.447,0.001,0.003,0.003,0.7809999999999999,0.0001,0.418,0.11,0.78,0.006,0.013000000000000001,0.071,0.01,0.016,0.5720000000000001,0.003,0.037000000000000005,3.5,50.6,0.5,8.6,0.14,2.7,18.9,5.5,63.1,0.4,3.3,0.07,2.8,22.5,False,False
4344,Э76ХФ,26.0,40.85,16.45,40.85,0.432482,0.143256,0.174091,0.12363699999999998,0.0392733,1583.0,1594.0,13.9152999,13309.4224924,113.1,1.0,18.948,0.086,0.05,0.45799999999999996,0.048,0.02,0.04919,0.11800000000000001,0.271,0.254,3649.0,0.001,0.43,0.293,0.096,0.628,0.006,0.011000000000000001,0.07,0.008,0.018000000000000002,0.445,0.001,0.003,0.003,0.777,0.0001,0.418,0.096,0.7859999999999999,0.005,0.013000000000000001,0.07,0.009000000000000001,0.011000000000000001,0.564,0.003,0.036000000000000004,3.4,53.9,0.5,14.1,0.14,2.2,24.4,4.0,52.5,0.2,9.8,0.08,2.2,24.4,False,False
4351,Э76ХФ,14.0,44.4,14.316666699999999,44.4,0.41822600000000004,0.113928,0.116079,0.122378,0.0401396,1586.0,1583.0,17.5405405,13339.6973225,115.5,1.0,25.96,0.12600000000000003,0.05,0.44799999999999995,0.052000000000000005,0.02,0.050275,0.142,0.179,0.20199999999999999,3183.0,0.002,0.354,0.324,0.09,0.674,0.005,0.01,0.059000000000000004,0.009000000000000001,0.02,0.45,0.001,0.002,0.003,0.755,0.0001,0.42200000000000004,0.09,0.787,0.004,0.011000000000000001,0.059000000000000004,0.011000000000000001,0.015,0.565,0.003,0.037000000000000005,4.1,44.4,1.1,14.9,0.35,2.3,19.2,4.5,59.2,0.6,10.5,0.1,2.4,25.0,False,False
4352,Э76ХФ,16.0,43.2333333,19.5833333,43.2333333,0.42640600000000006,0.12520799999999999,0.168121,0.111499,0.03918630000000001,1568.0,1582.0,10.899127400000001,13134.6382979,114.1,1.0,15.613,0.106,0.05,0.45399999999999996,0.042,0.02,0.049081,0.10300000000000001,0.262,0.222,4287.0,0.002,0.41600000000000004,0.313,0.084,0.638,0.006,0.011000000000000001,0.067,0.006999999999999999,0.017,0.46299999999999997,0.001,0.002,0.003,0.77,0.0001,0.42,0.084,0.792,0.005,0.012,0.067,0.008,0.013999999999999999,0.573,0.003,0.037000000000000005,4.2,57.5,0.3,12.6,0.12,2.4,23.6,5.6,60.9,0.3,8.1,0.06,2.7,22.5,False,False
4353,Э76ХФ,10.0,44.8833333,24.0166667,44.8833333,0.398776,0.10828800000000001,0.14136600000000002,0.10105,0.0395911,1557.0,1583.0,12.2097479,12511.3115892,116.5,1.0,18.162,0.116,0.05,0.424,0.040999999999999995,0.02,0.049588,0.098,0.22,0.192,5008.0,0.002,0.408,0.327,0.09,0.6609999999999999,0.006,0.01,0.059000000000000004,0.008,0.018000000000000002,0.46799999999999997,0.002,0.003,0.004,0.782,0.0002,0.41700000000000004,0.091,0.78,0.006,0.012,0.059000000000000004,0.008,0.012,0.5589999999999999,0.003,0.036000000000000004,4.8,57.4,0.6,10.4,0.08,2.8,20.7,4.5,55.9,0.5,12.8,0.18,2.2,24.9,False,False
4355,Э76ХФ,8.0,46.5166667,22.3333333,44.3666667,0.361829,0.12013199999999999,0.071198,0.117906,0.040168300000000004,1560.0,1579.0,8.908852,13126.5671642,117.8,2.0,12.804,0.116,0.05,0.379,0.040999999999999995,0.02,0.050311,0.154,0.10800000000000001,0.213,4886.0,0.002,0.474,0.32,0.1,0.7240000000000001,0.006999999999999999,0.008,0.071,0.011000000000000001,0.018000000000000002,0.457,0.002,0.003,0.004,0.764,0.0003,0.42,0.099,0.787,0.006,0.011000000000000001,0.071,0.012,0.012,0.574,0.003,0.037000000000000005,3.9,57.8,0.4,11.7,0.11,2.8,20.9,5.8,61.0,1.0,6.0,0.1,2.8,21.8,False,False
4356,Э76ХФ,10.0,44.1833333,18.8333333,44.1833333,0.422496,0.136488,0.11997999999999999,0.102942,0.040225800000000006,1585.0,1587.0,16.3385138,13119.2920354,116.6,1.0,24.063000000000002,0.116,0.05,0.449,0.042,0.02,0.050383,0.11,0.18600000000000003,0.242,4118.0,0.002,0.428,0.305,0.086,0.6809999999999999,0.006999999999999999,0.009000000000000001,0.059000000000000004,0.009000000000000001,0.018000000000000002,0.47100000000000003,0.002,0.003,0.003,0.755,0.0002,0.419,0.086,0.782,0.006,0.011000000000000001,0.06,0.01,0.013999999999999999,0.5579999999999999,0.003,0.037000000000000005,3.3,62.4,0.2,8.6,0.07,2.6,23.8,5.4,47.9,0.6,4.5,0.07,2.6,18.6,False,False
4357,Э76ХФ,11.0,44.0166667,18.8333333,44.0166667,0.393864,0.10603199999999999,0.099195,0.103716,0.0386953,1555.0,1583.0,8.6714881,13211.681415899999,114.1,1.0,12.722999999999999,0.07400000000000001,0.05,0.42,0.031,0.02,0.048466,0.12,0.153,0.188,4147.0,0.002,0.449,0.324,0.09699999999999999,0.696,0.006999999999999999,0.006,0.071,0.009000000000000001,0.017,0.483,0.002,0.003,0.003,0.762,0.0001,0.41600000000000004,0.095,0.79,0.006,0.012,0.071,0.01,0.015,0.598,0.003,0.037000000000000005,4.1,63.2,0.4,10.0,0.08,3.0,21.2,5.2,55.4,0.7,9.3,0.12,2.5,22.4,False,False
4358,Э76ХФ,15.0,42.6833333,20.216666699999998,42.6833333,0.38155500000000003,0.13254000000000002,0.12493499999999999,0.12349600000000001,0.039994999999999996,1557.0,1587.0,11.081140199999998,12310.634789799999,117.3,1.0,15.765999999999998,0.168,0.05,0.39899999999999997,0.039,0.02,0.050094,0.14,0.193,0.235,4148.0,0.002,0.447,0.311,0.086,0.687,0.006,0.009000000000000001,0.06,0.009000000000000001,0.017,0.469,0.002,0.003,0.003,0.774,0.0002,0.42,0.086,0.789,0.006,0.009000000000000001,0.061,0.01,0.013000000000000001,0.569,0.003,0.036000000000000004,4.3,60.4,0.3,11.9,0.08,2.8,21.5,4.2,55.4,0.9,12.8,0.17,2.2,25.5,False,False
4359,Э76ХФ,16.0,45.85,26.5333333,45.85,0.33749,0.14664000000000002,0.151401,0.12297999999999999,0.0398505,1566.0,1629.0,11.8378913,13384.6733668,117.2,1.0,17.964000000000002,0.21899999999999997,0.05,0.341,0.03,0.02,0.049913,0.128,0.235,0.26,5919.0,0.002,0.489,0.297,0.087,0.657,0.008,0.009000000000000001,0.057999999999999996,0.009000000000000001,0.016,0.46399999999999997,0.002,0.003,0.003,0.758,0.0001,0.419,0.087,0.7879999999999999,0.006999999999999999,0.01,0.057999999999999996,0.01,0.011000000000000001,0.563,0.003,0.037000000000000005,3.3,59.6,0.4,11.3,0.08,2.9,20.9,4.3,55.6,0.5,12.3,0.18,2.2,25.2,False,False
4360,Э76ХФ,28.0,41.8833333,22.3666667,41.8833333,0.32051999999999997,0.13535999999999998,0.102557,0.111671,0.039706,1541.0,1600.0,15.909607699999999,13506.7064083,115.1,1.0,22.079,0.09699999999999998,0.05,0.324,0.033,0.02,0.049732,0.131,0.158,0.24,5035.0,0.002,0.478,0.3,0.085,0.6920000000000001,0.005,0.011000000000000001,0.066,0.01,0.016,0.46799999999999997,0.002,0.003,0.004,0.785,0.0002,0.415,0.084,0.78,0.005,0.013000000000000001,0.066,0.011000000000000001,0.009000000000000001,0.56,0.003,0.037000000000000005,4.1,57.8,0.4,10.7,0.11,2.9,20.3,5.1,60.7,0.8,6.5,0.12,2.8,21.7,False,False
4361,Э76ХФ,28.0,49.85,20.75,49.85,0.341953,0.113364,0.08925,0.133042,0.040023800000000005,1574.0,1599.0,11.4938816,12644.8192771,117.5,1.0,19.099,0.08800000000000002,0.05,0.355,0.034,0.02,0.05013,0.17,0.136,0.201,4373.0,0.002,0.444,0.322,0.083,0.7070000000000001,0.005,0.01,0.069,0.013000000000000001,0.019,0.452,0.002,0.004,0.004,0.768,0.0003,0.419,0.083,0.7829999999999999,0.004,0.013000000000000001,0.07,0.013999999999999999,0.013999999999999999,0.5710000000000001,0.003,0.036000000000000004,4.2,58.8,0.7,15.9,0.09,2.8,20.7,5.3,58.9,0.8,11.2,0.12,2.8,21.1,False,False
4362,Э76ХФ,39.0,44.8333333,24.3,44.8333333,0.303631,0.111108,0.090991,0.103415,0.0394178,1552.0,1591.0,9.452342,12819.7530864,114.6,1.0,14.126,0.07999999999999999,0.05,0.308,0.042,0.02,0.049371,0.12300000000000001,0.14,0.19699999999999998,5192.0,0.002,0.523,0.32,0.10300000000000001,0.7,0.006,0.012,0.068,0.01,0.019,0.474,0.002,0.004,0.003,0.77,0.0007,0.41600000000000004,0.10300000000000001,0.777,0.005,0.012,0.068,0.011000000000000001,0.013999999999999999,0.569,0.003,0.037000000000000005,4.4,58.8,0.4,14.5,0.12,2.9,20.2,5.2,60.7,0.6,6.4,0.11,2.7,22.5,False,False
4363,Э76ХФ,41.0,41.533333299999995,16.05,41.533333299999995,0.309829,0.091932,0.069378,0.12061500000000001,0.039994999999999996,1555.0,1580.0,9.9592295,12934.5794393,117.0,1.0,13.788,0.116,0.05,0.32,0.038,0.02,0.050094,0.159,0.105,0.163,3460.0,0.002,0.532,0.344,0.095,0.725,0.013999999999999999,0.01,0.086,0.013999999999999999,0.015,0.46799999999999997,0.002,0.004,0.004,0.7659999999999999,0.0009,0.41700000000000004,0.094,0.773,0.013000000000000001,0.012,0.086,0.013999999999999999,0.012,0.5710000000000001,0.003,0.036000000000000004,5.3,59.1,0.4,12.6,0.09,2.8,21.4,7.8,57.2,0.5,7.9,0.08,2.6,21.7,False,False
4364,Э76ХФ,48.0,43.033333299999995,18.3333333,43.033333299999995,0.285855,0.10434,0.056287000000000004,0.10234,0.038898,1550.0,1582.0,13.0364059,13077.8181818,114.4,1.0,18.7,0.052,0.384,0.42,0.061,0.02,0.04872,0.136,0.085,0.185,3996.0,0.002,0.494,0.327,0.08800000000000001,0.733,0.009000000000000001,0.011000000000000001,0.071,0.013999999999999999,0.016,0.47700000000000004,0.002,0.004,0.003,0.7929999999999999,0.0003,0.41700000000000004,0.08800000000000001,0.78,0.008,0.011000000000000001,0.071,0.015,0.013000000000000001,0.5660000000000001,0.004,0.038,3.9,58.7,1.1,7.6,0.16,2.9,20.5,4.5,60.8,0.7,6.2,0.13,2.8,21.3,False,False
4365,Э76ХФ,54.0,43.0166667,22.466666699999998,43.0166667,0.35457,0.10152,0.08228200000000001,0.131795,0.0398505,1554.0,1581.0,18.603952,13350.4451039,117.3,1.0,26.676,0.08699999999999998,0.05,0.373,0.039,0.02,0.049913,0.171,0.125,0.18,4999.0,0.002,0.489,0.336,0.102,0.7140000000000001,0.011000000000000001,0.012,0.08,0.013000000000000001,0.015,0.45899999999999996,0.002,0.004,0.003,0.76,0.0002,0.418,0.1,0.779,0.01,0.013000000000000001,0.08,0.013999999999999999,0.011000000000000001,0.5589999999999999,0.003,0.037000000000000005,4.8,56.3,0.8,13.8,0.18,2.5,22.1,4.9,45.7,0.5,8.7,0.12,2.4,18.9,False,False
4366,Э76ХФ,52.0,41.5,17.1833333,41.5,0.37203200000000003,0.10941600000000001,0.085423,0.131365,0.0481962,1558.0,1582.0,11.911487300000001,12916.0038797,117.7,1.0,16.418,0.08699999999999998,0.05,0.39299999999999996,0.038,0.02,0.060365999999999996,0.16899999999999998,0.13,0.19399999999999998,3699.0,0.002,0.48100000000000004,0.325,0.087,0.711,0.008,0.011000000000000001,0.069,0.013000000000000001,0.016,0.45799999999999996,0.002,0.003,0.003,0.7759999999999999,0.0001,0.41700000000000004,0.08800000000000001,0.787,0.006999999999999999,0.012,0.07,0.013999999999999999,0.013999999999999999,0.573,0.003,0.036000000000000004,4.5,54.0,0.9,23.5,0.16,2.6,20.6,5.1,54.8,0.6,17.4,0.09,2.5,22.1,False,False
4367,Э76ХФ,54.0,42.05,16.3666667,42.05,0.316892,0.09249600000000001,0.08477699999999999,0.10685499999999999,0.039013,1559.0,1587.0,11.4827586,12610.997963299998,115.1,1.0,16.095,0.116,0.05,0.32799999999999996,0.033,0.02,0.048864,0.131,0.13,0.16399999999999998,3440.0,0.002,0.517,0.34299999999999997,0.10300000000000001,0.7090000000000001,0.018000000000000002,0.009000000000000001,0.09699999999999999,0.012,0.017,0.478,0.002,0.003,0.003,0.759,0.0002,0.42200000000000004,0.10400000000000001,0.7829999999999999,0.017,0.01,0.09699999999999999,0.013000000000000001,0.013999999999999999,0.569,0.003,0.037000000000000005,4.5,60.8,0.5,11.3,0.08,2.9,20.8,6.1,59.0,0.6,6.7,0.09,2.7,21.8,False,False
4368,Э76ХФ,58.0,42.6833333,17.3666667,42.6833333,0.41418999999999995,0.12408,0.120473,0.121647,0.0397356,1592.0,1592.0,10.112224000000001,13045.681381999999,116.9,1.0,14.247,0.07599999999999998,0.05,0.441,0.040999999999999995,0.02,0.049769,0.139,0.18600000000000003,0.22,3776.0,0.002,0.436,0.308,0.085,0.679,0.006,0.011000000000000001,0.06,0.01,0.016,0.45399999999999996,0.002,0.003,0.004,0.762,0.0003,0.41,0.083,0.779,0.005,0.013000000000000001,0.059000000000000004,0.01,0.009000000000000001,0.569,0.003,0.037000000000000005,6.1,57.6,0.3,13.6,0.08,2.8,20.9,9.1,58.1,0.8,7.2,0.07,2.8,20.6,False,False
4369,Э76ХФ,52.0,40.4,16.4,40.4,0.3263679,0.125772,0.11386800000000001,0.110252,0.0391575,1554.0,1581.0,18.495297,13039.0243902,114.7,1.0,24.906999999999996,0.17300000000000001,0.05,0.319,0.047,0.02,0.049045,0.124,0.17600000000000002,0.223,3564.0,0.002,0.48100000000000004,0.308,0.081,0.684,0.004,0.012,0.05,0.009000000000000001,0.015,0.47700000000000004,0.002,0.003,0.004,0.78,0.0003,0.41600000000000004,0.08,0.7809999999999999,0.004,0.013999999999999999,0.051,0.01,0.005,0.5539999999999999,0.003,0.036000000000000004,4.1,59.5,0.4,7.7,0.07,3.0,19.8,7.7,56.0,0.8,7.8,0.08,2.7,21.0,False,False
4370,Э76ХФ,53.0,45.2,21.05,45.2,0.317621,0.128028,0.095663,0.089311,0.039375099999999996,1562.0,1589.0,11.477930800000001,12299.2874109,115.5000001,1.0,17.134,0.159,0.05,0.322,0.037000000000000005,0.02,0.049479,0.099,0.14800000000000002,0.227,4315.0,0.002,0.507,0.307,0.084,0.696,0.006,0.01,0.059000000000000004,0.01,0.015,0.479,0.002,0.003,0.004,0.774,0.0002,0.41700000000000004,0.084,0.779,0.005,0.011000000000000001,0.059000000000000004,0.011000000000000001,0.011000000000000001,0.56,0.003,0.037000000000000005,4.8,59.4,0.5,12.0,0.08,3.0,20.0,4.1,55.9,0.6,11.8,0.2,2.2,25.6,False,False
4371,Э76ХФ,13.0,44.216666700000005,16.6333333,44.216666700000005,0.368785,0.11562,0.158301,0.121647,0.04214880000000001,1588.0,1585.0,17.1713746,13112.224448899999,117.8,1.0,25.261,0.129,0.05,0.385,0.040999999999999995,0.02,0.053024,0.12300000000000001,0.24600000000000002,0.205,3635.0,0.002,0.474,0.32299999999999995,0.10099999999999999,0.655,0.01,0.011000000000000001,0.071,0.013000000000000001,0.02,0.462,0.002,0.004,0.003,0.78,0.0003,0.419,0.1,0.789,0.009000000000000001,0.013000000000000001,0.071,0.013999999999999999,0.013999999999999999,0.568,0.003,0.039,3.6,50.8,0.4,12.6,0.07,2.7,18.6,5.7,56.4,0.5,10.8,0.08,2.8,20.4,False,False
4372,Э76ХФ,13.0,44.8666667,18.15,44.8666667,0.3519939,0.12013199999999999,0.158131,0.11519700000000001,0.0407394,1577.0,1580.0,15.3626497,13127.272727299998,115.1,1.0,22.805,0.138,0.05,0.358,0.04,0.02,0.051251,0.113,0.24600000000000002,0.213,3971.0,0.002,0.47600000000000003,0.313,0.086,0.652,0.008,0.012,0.07400000000000001,0.009000000000000001,0.017,0.47,0.002,0.003,0.003,0.779,0.0002,0.414,0.08800000000000001,0.7909999999999999,0.008,0.012,0.075,0.009000000000000001,0.012,0.563,0.003,0.038,5.0,56.3,0.4,12.3,0.08,2.8,20.2,3.7,60.2,0.5,11.5,0.08,2.4,24.7,False,False
4373,Э76ХФ,14.0,41.1833333,18.3,41.1833333,0.3415477,0.120696,0.161544,0.12508699999999998,0.0411424,1576.0,1579.0,15.185962,12931.147541,116.2,1.0,20.674,0.14500000000000002,0.05,0.327,0.040999999999999995,0.02,0.051758000000000005,0.127,0.251,0.214,3944.0,0.002,0.478,0.314,0.10400000000000001,0.647,0.006999999999999999,0.011000000000000001,0.068,0.006999999999999999,0.017,0.46399999999999997,0.001,0.003,0.003,0.7609999999999999,0.0004,0.40299999999999997,0.105,0.792,0.008,0.012,0.07200000000000001,0.008,0.013000000000000001,0.561,0.003,0.039,4.7,47.1,1.4,15.6,0.23,2.7,17.3,4.3,55.9,0.7,12.4,0.18,2.2,25.4,False,False
4374,Э76ХФ,15.0,40.6666667,20.45,40.6666667,0.1737749,0.1128,0.08827,0.071939,0.039474699999999995,1549.0,1582.0,17.5874923,13431.784841100001,111.8,1.0,23.748,0.11499999999999999,0.05,0.142,0.055999999999999994,0.02,0.04966,0.075,0.13699999999999998,0.2,4578.0,0.002,0.615,0.317,0.08900000000000001,0.703,0.005,0.01,0.055999999999999994,0.01,0.013999999999999999,0.498,0.002,0.004,0.004,0.7659999999999999,0.0008,0.401,0.091,0.778,0.006,0.009000000000000001,0.06,0.01,0.011000000000000001,0.55,0.003,0.039,3.7,53.8,0.5,9.2,0.08,3.0,18.1,4.9,60.5,1.0,6.1,0.13,2.7,22.5,False,False
4375,Э76ХФ,15.0,43.0166667,15.666666699999999,43.0166667,0.226827,0.14043599999999998,0.190221,0.136697,0.03737619999999999,1588.0,1587.0,12.767327900000002,13350.6382979,113.3,1.0,18.236,0.09600000000000002,0.05,0.204,0.042,0.02,0.04702,0.133,0.29600000000000004,0.249,3486.0,0.002,0.5720000000000001,0.297,0.099,0.624,0.006999999999999999,0.012,0.06,0.008,0.018000000000000002,0.451,0.002,0.003,0.003,0.755,0.0003,0.418,0.098,0.787,0.006999999999999999,0.012,0.06,0.009000000000000001,0.013000000000000001,0.5660000000000001,0.003,0.036000000000000004,4.8,62.0,0.6,9.0,0.09,2.8,22.1,5.2,60.8,0.4,7.6,0.07,2.8,22.1,False,False
4376,Э76ХФ,15.0,39.7,14.733333300000002,39.7,0.363039,0.15961199999999998,0.233775,0.162583,0.041286300000000005,1602.0,1591.0,18.1532077,12901.3574661,116.5,1.0,23.816,0.134,0.05,0.36700000000000005,0.042,0.02,0.051939,0.155,0.364,0.28300000000000003,3168.0,0.001,0.493,0.285,0.102,0.5870000000000001,0.006999999999999999,0.012,0.081,0.009000000000000001,0.018000000000000002,0.429,0.001,0.004,0.003,0.773,0.0003,0.42200000000000004,0.1,0.795,0.006,0.012,0.08,0.009000000000000001,0.013000000000000001,0.5770000000000001,0.003,0.04,3.1,55.9,0.3,13.7,0.13,2.1,26.4,3.8,52.5,0.4,15.8,0.08,2.3,23.3,False,False
4377,Э76ХФ,17.0,41.0666667,17.0,40.2333333,0.26565300000000003,0.113364,0.134432,0.10109299999999999,0.0392736,1566.0,1588.0,16.38343,13761.1764706,111.1,1.0,21.971999999999998,0.12600000000000003,0.05,0.259,0.042,0.02,0.049407,0.10099999999999999,0.209,0.201,3899.0,0.002,0.55,0.315,0.094,0.667,0.008,0.011000000000000001,0.06,0.009000000000000001,0.017,0.474,0.002,0.003,0.003,0.765,0.0003,0.414,0.092,0.787,0.006999999999999999,0.012,0.06,0.01,0.011000000000000001,0.57,0.003,0.039,3.6,51.9,0.4,12.4,0.08,2.7,19.5,5.3,61.5,0.2,9.6,0.06,2.8,22.3,False,False
4378,Э76ХФ,17.0,42.3666667,22.0166667,41.716666700000005,0.185953,0.13028399999999998,0.173479,0.099502,0.041458800000000004,1548.0,1584.0,18.8825243,13495.230885699999,115.4,1.0,25.932,0.132,0.05,0.156,0.07,0.02,0.052155999999999994,0.08199999999999999,0.271,0.231,4952.0,0.002,0.631,0.304,0.115,0.638,0.005,0.011000000000000001,0.066,0.008,0.018000000000000002,0.479,0.002,0.004,0.003,0.78,0.0004,0.426,0.115,0.794,0.004,0.013000000000000001,0.066,0.009000000000000001,0.012,0.574,0.003,0.039,3.7,49.1,0.5,11.6,0.08,2.5,19.9,4.7,54.3,0.6,10.5,0.07,2.5,21.6,False,False
4379,Э76ХФ,14.0,40.55,22.85,40.55,0.326787,0.095316,0.077055,0.100921,0.0389,1602.0,1627.0,17.7842669,14229.321662999999,109.2,1.0,23.989,0.135,0.05,0.34,0.042,0.02,0.048937,0.125,0.11800000000000001,0.16899999999999998,5419.0,0.002,0.504,0.33,0.077,0.721,0.004,0.012,0.051,0.011000000000000001,0.016,0.48100000000000004,0.002,0.003,0.004,0.753,0.0003,0.42,0.08,0.795,0.004,0.013000000000000001,0.052000000000000005,0.012,0.011000000000000001,0.583,0.003,0.039,3.4,62.3,0.2,8.3,0.06,2.7,23.0,4.6,64.2,0.2,4.4,0.06,2.7,23.9,False,False
4380,Э76ХФ,11.0,45.55,21.3333333,45.55,0.364735,0.08742,0.111044,0.14662999999999998,0.0400208,1577.0,1593.0,12.4565604,12954.375,113.6,1.0,18.671,0.14500000000000002,0.05,0.387,0.040999999999999995,0.02,0.050347,0.182,0.17,0.155,4606.0,0.003,0.48700000000000004,0.341,0.131,0.685,0.009000000000000001,0.011000000000000001,0.068,0.013000000000000001,0.018000000000000002,0.43,0.002,0.003,0.004,0.765,0.0006,0.401,0.127,0.7879999999999999,0.009000000000000001,0.01,0.07,0.013999999999999999,0.011000000000000001,0.556,0.003,0.040999999999999995,3.7,62.5,0.2,8.7,0.06,2.7,23.6,4.4,51.0,0.5,5.9,0.07,2.7,18.8,False,False
