;t вып-обр;t обработка;ПСН гр.;чист расход C;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
1380;3,0;79,4;2,99082745;0,34680700000000003;0,093515;0,0375836;1572,0;1605,0;13,8893536;13302,4667932;110,8;1,0;36,529;0,127;0,05;0,04;0,02;0,047454;0,157;5842,0;0,002;0,4920000000000001;0,338;0,08800000000000001;0,723;0,011;0,062;0,01;0,018000000000000002;0,477;0,002;0,003;0,004;0,758;0,0002;0,416;0,7829999999999999;0,005;0,012;0,011;0,011;0,562;0,003;0,037000000000000005;5,9;57,1;0,8;15,7;0,09;2,6;21,7;7,9;56,4;0,3;13,6;0,05;2,8;20,0
1381;42,0;45,8333333;2,99082745;0,372743;0,13446;0,0395889;1553,0;1581,0;10,3464305;13299,7481108;116,0;1,0;15,58;0,125;0,05;0,041;0,02;0,049986;0,203;4400,0;0,002;0,471;0,324;0,083;0,72;0,01;0,059;0,011;0,018000000000000002;0,446;0,002;0,003;0,003;0,757;0,0003;0,421;0,784;0,006;0,012;0,012;0,014;0,569;0,003;0,037000000000000005;4,8;52,0;0,6;16,1;0,12;2,3;22,6;5,2;56,5;0,3;13,8;0,07;2,3;24,5
1382;35,0;43,4166667;2,99082745;0,395519;0,165765;0,0388151;1584,0;1588,0;12,1960316;13163,2183908;114,5;1,0;17,586;0,307;0,05;0,04;0,02;0,049009;0,159;2863,0;0,002;0,453;0,341;0,12;0,7120000000000001;0,01;0,069;0,013;0,02;0,435;0,001;0,002;0,003;0,7609999999999999;0,0001;0,419;0,792;0,005;0,012;0,014;0,013;0,5720000000000001;0,002;0,036000000000000004;3,3;48,8;2,6;16,0;0,28;2,0;24,5;5,2;55,5;0,2;13,8;0,09;2,3;24,2
1383;35,0;46,55;2,99082745;0,419565;0,135687;0,039817800000000014;1552,0;1578,0;11,1096986;13305,6261343;116,2;1,0;16,896;0,129;0,05;0,039;0,02;0,050275;0,175;4073,0;0,002;0,45;0,338;0,112;0,693;0,01;0,102;0,009000000000000001;0,021;0,458;0,002;0,002;0,003;0,7659999999999999;0,0003;0,42;0,7879999999999999;0,012;0,012;0,01;0,014;0,5720000000000001;0,003;0,035;3,4;53,0;1,1;16,2;0,11;2,2;24,4;3,6;54,1;0,4;11,9;0,1;2,2;24,9
1384;30,0;43,6833333;2,99082745;0,394903;0,147531;0,038987;1577,0;1579,0;11,4737123;13547,093023299998;115,1;1,0;16,707;0,126;0,05;0,04;0,02;0,049226;0,153;2589,0;0,001;0,456;0,342;0,123;0,688;0,011;0,086;0,014;0,022;0,445;0,002;0,003;0,003;0,7659999999999999;0,0002;0,416;0,7879999999999999;0,006999999999999999;0,012;0,015;0,014;0,569;0,003;0,034;3,5;49,3;0,9;11,2;0,07;2,3;21,5;3,9;57,4;0,4;12,6;0,1;2,2;25,7
1385;29,0;47,0333333;2,99082745;0,309973;0,063951;0,0375836;1533,0;1579,0;9,8221828;13258,4686775;109,9;1,0;15,399;0,126;0,05;0,04;0,02;0,047454;0,14300000000000002;4762,0;0,002;0,511;0,348;0,099;0,725;0,011;0,069;0,009000000000000001;0,018000000000000002;0,502;0,002;0,003;0,003;0,75;0,0001;0,419;0,779;0,006;0,012;0,009000000000000001;0,013;0,556;0,003;0,034;4,1;56,4;0,4;12,8;0,07;2,6;21,3;5,2;63,1;0,6;5,9;0,07;2,8;21,9
1386;24,0;41,5166667;1,7824693;0,39691;0,11691300000000003;0,0398748;1591,0;1579,0;10,8300489;11871,6101695;114,9;1,0;14,777;0,085;0,05;0,027000000000000003;0,02;0,050347;0,17;3113,0;0,002;0,4320000000000001;0,336;0,101;0,6940000000000001;0,011;0,084;0,009000000000000001;0,016;0,458;0,001;0,002;0,003;0,7759999999999999;0,0002;0,419;0,7879999999999999;0,008;0,012;0,01;0,012;0,564;0,003;0,037000000000000005;3,8;57,1;0,8;16,7;0,13;2,5;23,3;4,2;56,6;1,0;13,6;0,21;2,3;24,8
1387;15,0;41,9;1,3977095;0,451654;0,154434;0,0397608;1606,0;1582,0;11,466480699999998;11801,953125;116,5;1,0;15,983;0,165;0,05;0,041;0,02;0,050203;0,184;3357,0;0,002;0,402;0,33;0,095;0,672;0,01;0,07;0,012;0,021;0,434;0,002;0,003;0,003;0,775;0,0001;0,419;0,7909999999999999;0,005;0,011;0,013;0,014;0,57;0,003;0,036000000000000004;4,1;56,5;0,5;12,1;0,08;2,3;24,5;3,6;56,2;0,4;11,7;0,07;2,2;25,7
1388;19,0;42,0666667;1,8176383000000005;0,322204;0,089751;0,0385594;1542,0;1583,0;11,5245732;13714,8205928;112,7;1,0;16,128;0,085;0,05;0,04;0,02;0,048647;0,184;4884,0;0,003;0,473;0,327;0,117;0,7340000000000001;0,01;0,07400000000000001;0,012;0,02;0,477;0,002;0,003;0,003;0,768;0,0001;0,418;0,79;0,006;0,012;0,013;0,015;0,5589999999999999;0,003;0,037000000000000005;3,6;59,2;0,6;15,5;0,15;2,7;22,3;5,1;60,6;0,7;7,9;0,08;2,8;22,0
1389;12,0;45,1666667;2,3202417;0,390847;0,065349;0,0394226;1590,0;1583,0;16,3866421;12475,9206799;113,8;1,0;24,671;0,08;0,05;0,04;0,02;0,049732;0,217;3670,0;0,002;0,433;0,312;0,101;0,6779999999999999;0,009000000000000001;0,064;0,008;0,021;0,504;0,002;0,002;0,003;0,778;0,0001;0,417;0,785;0,006;0,01;0,009000000000000001;0,014;0,565;0,003;0,036000000000000004;3,5;59,5;0,8;12,0;0,11;2,6;22,6;3,7;60,4;0,5;5,9;0,07;2,3;26,3
1390;16,0;41,5333333;2,0;0,431522;0,129822;0,03905;1578,0;1581,0;13,8185393;12731,4782609;113,6;1,0;19,131;0,14800000000000002;0,05;0,027000000000000003;0,02;0,049262;0,222;4067,0;0,002;0,423;0,31;0,099;0,662;0,01;0,064;0,008;0,02;0,451;0,001;0,002;0,003;0,7859999999999999;0,0001;0,42;0,7859999999999999;0,005;0,01;0,009000000000000001;0,015;0,569;0,003;0,036000000000000004;3,0;49,7;0,4;15,5;0,13;2,3;22,0;7,4;56,9;0,3;13,6;0,06;2,8;20,6
1391;14,0;45,3833333;3,0679348;0,367344;0,101994;0,0405981;1555,0;1582,0;12,061917;13208,6893555;119,1;1,0;18,247;0,085;0,05;0,023;0,02;0,051215;0,234;5067,0;0,002;0,436;0,308;0,105;0,731;0,008;0,063;0,016;0,02;0,462;0,002;0,004;0,004;0,7909999999999999;0,0003;0,42;0,777;0,005;0,01;0,018000000000000002;0,016;0,5489999999999999;0,004;0,038;3,1;45,8;0,5;6,3;0,1;3,2;14,1;7,8;58,7;0,4;13,0;0,06;2,8;20,6
1392;7,0;40,71666670000001;2,1993355;0,393611;0,110499;0,0393369;1575,0;1592,0;11,5758494;13112,9692833;115,5;1,0;15,711;0,08199999999999999;0,05;0,029;0,02;0,049624;0,191;4269,0;0,002;0,439;0,327;0,08900000000000001;0,7070000000000001;0,009000000000000001;0,061;0,012;0,02;0,475;0,002;0,004;0,003;0,769;0,0001;0,42;0,792;0,005;0,011;0,013;0,013;0,563;0,003;0,036000000000000004;3,7;45,3;0,9;8,3;0,13;2,6;17,4;4,4;58,5;0,4;9,2;0,08;2,3;25,9
1393;13,0;41,0166667;2,0;0,386576;0,18432;0,0393369;1605,0;1629,0;12,6043885;13199,1410165;114,6;1,0;17,233;0,33;0,05;0,031;0,02;0,049624;0,226;5122,0;0,001;0,473;0,309;0,112;0,6709999999999999;0,009000000000000001;0,071;0,01;0,019;0,409;0,001;0,003;0,003;0,747;0,0005;0,417;0,778;0,006999999999999999;0,009000000000000001;0,011;0,012;0,564;0,003;0,037000000000000005;3,1;49,8;0,6;17,7;0,23;2,0;25,4;4,3;58,4;0,4;9,5;0,09;2,2;26,0
1394;19,0;44,7;3,3195266;0,364414;0,097362;0,0413147;1551,0;1596,0;16,0369128;13403,788903899998;115,1;1,0;23,895;0,139;0,13699999999999998;0,022;0,02;0,052119000000000006;0,204;5503,0;0,002;0,479;0,319;0,105;0,698;0,009000000000000001;0,064;0,011;0,018000000000000002;0,482;0,002;0,004;0,004;0,7709999999999999;0,0004;0,418;0,789;0,006999999999999999;0,012;0,012;0,013;0,562;0,003;0,038;3,5;57,7;0,6;13,9;0,13;2,6;22,5;4,4;52,1;0,4;6,8;0,07;2,5;20,8
1395;26,0;40,2;2,99082745;0,362797;0,105897;0,0397959;1584,0;1592,0;13,7025195;13221,6936251;112,1;1,0;17,524;0,14800000000000002;0,05;0,041;0,02;0,050203;0,147;3860,0;0,002;0,484;0,343;0,112;0,718;0,012;0,08;0,012;0,018000000000000002;0,477;0,002;0,003;0,003;0,7759999999999999;0,0002;0,416;0,792;0,008;0,014;0,011;0,012;0,5770000000000001;0,003;0,035;3,1;59,1;0,2;12,8;0,07;2,3;25,4;3,4;58,7;0,5;10,8;0,09;2,4;24,8
1396;17,0;54,8666667;2,4358974;0,319172;0,092679;0,0396239;1585,0;1586,0;12,6360875;13041,038961;111,8;1,0;23,11;0,147;0,05;0,052000000000000005;0,02;0,049986;0,202;4184,0;0,002;0,508;0,319;0,1;0,7040000000000001;0,011;0,063;0,011;0,018000000000000002;0,484;0,002;0,003;0,003;0,7709999999999999;0,0006;0,42;0,7909999999999999;0,005;0,012;0,012;0,013;0,573;0,003;0,039;3,1;60,7;0,2;11,3;0,06;2,5;23,9;3,6;61,2;0,1;7,4;0,05;2,6;23,6
1397;27,0;41,85;3,2853484;0,4163520000000001;0,241473;0,0413726;1586,0;1579,0;13,6535093;13598,891966799998;117,8;1,0;18,967;0,325;0,05;0,039;0,02;0,052192;0,26;4091,0;0,001;0,448;0,294;0,109;0,611;0,011;0,068;0,011;0,019;0,369;0,001;0,003;0,003;0,746;0,0004;0,415;0,7859999999999999;0,006999999999999999;0,013;0,012;0,014;0,5720000000000001;0,002;0,038;3,3;46,6;1,1;16,1;0,55;1,8;26,1;3,9;57,7;0,3;9,8;0,07;2,2;26,0
1398;26,0;39,6666667;3,2345361;0,372501;0,164937;0,0407131;1569,0;1579,0;11,9533613;13648,0417755;115,9;1,0;15,805;0,219;0,05;0,036000000000000004;0,02;0,05136;0,217;4356,0;0,002;0,482;0,316;0,096;0,628;0,011;0,063;0,009000000000000001;0,02;0,434;0,002;0,003;0,003;0,7440000000000001;0,0003;0,419;0,7929999999999999;0,006;0,013;0,009000000000000001;0,012;0,568;0,003;0,038;3,8;54,1;0,6;14,7;0,15;2,2;25,0;7,4;57,6;0,4;13,7;0,06;2,8;20,9
1399;21,0;45,1833333;3,0;0,4006286;0,135249;0,041;1605,0;1585,0;13,094651400000002;12897,044335;116,2;1,0;19,722;0,149;0,05;0,029;0,02;0,051722;0,207;2909,0;0,002;0,443;0,321;0,093;0,684;0,011;0,063;0,011;0,017;0,45;0,002;0,003;0,003;0,76;0,0002;0,416;0,787;0,005;0,014;0,012;0,012;0,5660000000000001;0,003;0,038;3,2;58,2;0,3;14,3;0,07;2,3;25,6;3,8;49,0;0,6;10,3;0,07;2,5;19,8
1400;25,0;41,8833333;4,0;0,2982984;0,066975;0,038878;1582,0;1587,0;12,7969757;13137,4407583;110,3;1,0;17,866;0,073;0,05;0,041;0,02;0,049045;0,159;3850,0;0,002;0,506;0,337;0,096;0,752;0,011;0,066;0,013;0,016;0,501;0,002;0,004;0,003;0,769;0,0002;0,416;0,7879999999999999;0,006;0,011;0,013;0,012;0,564;0,003;0,039;3,8;61,2;0,5;11,5;0,07;2,7;22,3;4,0;60,7;0,5;7,7;0,07;2,6;23,7
1401;25,0;43,5833333;3,0;0,2727139;0,08517000000000001;0,039279900000000006;1576,0;1581,0;12,4915663;13171,0084034;111,6;1,0;18,144;0,069;0,05;0,037000000000000005;0,02;0,049552;0,162;3483,0;0,002;0,547;0,337;0,095;0,7090000000000001;0,011;0,07;0,012;0,015;0,494;0,002;0,004;0,003;0,755;0,0002;0,416;0,785;0,005;0,013;0,011;0,011;0,573;0,003;0,039;3,2;62,7;0,2;8,4;0,06;2,7;23,2;3,7;58,7;0,3;5,7;0,06;2,8;20,5
1402;27,0;43,5;2,6567718;0,2466101;0,08799;0,0400821;1535,0;1580,0;14,2640047;13735,6990774;118,1;1,0;20,243;0,145;0,05;0,038;0,02;0,050564;0,196;5376,0;0,002;0,5820000000000001;0,322;0,101;0,71;0,012;0,067;0,011;0,018000000000000002;0,4970000000000001;0,003;0,004;0,003;0,7809999999999999;0,0006;0,415;0,785;0,005;0,012;0,011;0,012;0,557;0,003;0,037000000000000005;3,4;53,0;0,4;9,6;0,07;2,8;19,0;4,2;59,4;0,5;8,4;0,09;2,4;24,3
1403;27,0;42,0166667;2,99082745;0,359287;0,113778;0,0398815;1552,0;1581,0;8,3152717;13474,3801653;115,9;1,0;11,646;0,086;0,05;0,038;0,02;0,050311;0,109;4076,0;0,002;0,49;0,365;0,107;0,7140000000000001;0,011;0,081;0,011;0,017;0,475;0,002;0,003;0,003;0,784;0,0001;0,415;0,779;0,006999999999999999;0,012;0,012;0,013;0,574;0,003;0,037000000000000005;3,7;56,9;0,8;10,8;0,08;2,8;20,5;4,5;56,6;1,0;6,0;0,06;2,8;20,6
1404;33,0;44,9333333;2,99082745;0,3889067;0,152799;0,0399101;1554,0;1579,0;17,0772152;14960,7142857;117,4;1,0;25,483;0,149;0,05;0,03;0,02;0,050347;0,16;4189,0;0,002;0,439;0,34700000000000003;0,112;0,648;0,011;0,075;0,011;0,017;0,4370000000000001;0,002;0,003;0,003;0,762;0,0003;0,416;0,7859999999999999;0,006;0,017;0,013;0,012;0,585;0,003;0,037000000000000005;3,9;54,8;0,6;11,5;0,06;2,7;20,0;4,5;58,0;0,6;7,6;0,07;2,7;21,9
1405;34,0;40,2;3,4690342000000003;0,3493865;0,08090399999999999;0,0380084;1543,0;1585,0;10,8940299;13776,428571399998;111,7;1,0;14,598;0,095;0,05;0,029;0,02;0,047924;0,187;4286,0;0,002;0,462;0,324;0,1;0,6709999999999999;0,01;0,07;0,01;0,019;0,495;0,002;0,003;0,004;0,772;0,0003;0,417;0,7829999999999999;0,005;0,012;0,011;0,014;0,563;0,003;0,037000000000000005;4,0;58,4;0,3;12,5;0,07;2,6;22,2;6,2;59,3;0,4;9,9;0,06;2,8;21,1
1406;25,0;40,85;2,5696203;0,392546;0,139701;0,0409343;1564,0;1592,0;11,1040392;13098,1818182;119,5;1,0;15,12;0,096;0,05;0,028;0,02;0,051613;0,232;3602,0;0,002;0,471;0,308;0,107;0,679;0,011;0,066;0,011;0,018000000000000002;0,462;0,002;0,003;0,004;0,7909999999999999;0,0006;0,416;0,777;0,005;0,013;0,012;0,013;0,574;0,003;0,037000000000000005;3,9;57,2;0,6;12,6;0,08;2,7;21,1;4,4;54,4;0,4;6,4;0,08;2,8;19,4
1407;23,0;44,1833333;3,2768287000000003;0,238322;0,094812;0,0384963;1579,0;1630,0;11,229697300000002;13199,2419457;113,6;1,0;16,386;0,095;0,05;0,041;0,02;0,048539;0,14400000000000002;5804,0;0,003;0,581;0,345;0,1;0,762;0,01;0,079;0,013;0,017;0,49;0,002;0,003;0,004;0,762;0,0003;0,413;0,7809999999999999;0,009000000000000001;0,01;0,013;0,01;0,5660000000000001;0,003;0,037000000000000005;3,6;61,0;0,3;8,4;0,06;3,0;20,4;4,1;62,3;0,9;3,8;0,09;2,8;21,6
1408;28,0;51,0166667;2,2846715;0,3747735;0,15012;0,0397581;1576,0;1599,0;11,7902511;12875,3673293;116,6;1,0;19,955;0,16899999999999998;0,05;0,034;0,02;0,05013;0,236;4138,0;0,002;0,44;0,312;0,097;0,6629999999999999;0,01;0,07200000000000001;0,01;0,019;0,447;0,002;0,003;0,003;0,77;0,0003;0,425;0,79;0,006;0,013;0,01;0,012;0,5720000000000001;0,003;0,037000000000000005;3,5;47,8;1,1;9,2;0,1;2,6;18,4;7,4;57,0;0,5;12,3;0,08;2,8;20,3
1409;33,0;50,21666670000001;3,3905004;0,384759;0,149343;0,0381806;1552,0;1595,0;9,2860372;13633,2541568;112,1;1,0;15,518;0,193;0,05;0,034;0,02;0,048141;0,253;4783,0;0,002;0,454;0,29600000000000004;0,093;0,616;0,013;0,059;0,006999999999999999;0,019;0,448;0,002;0,003;0,003;0,779;0,0001;0,419;0,784;0,004;0,013;0,006999999999999999;0,013;0,561;0,003;0,037000000000000005;3,4;51,9;0,6;14,7;0,08;2,3;22,4;3,7;57,1;0,6;11,2;0,12;2,2;25,9
1410;51,0;48,0333333;2,5913435;0,445755;0,16122;0,0410207;1566,0;1582,0;8,5820647;11922,8634039;118,7;1,0;13,717;0,086;0,185;0,101;0,02;0,051722;0,265;4534,0;0,002;0,35700000000000004;0,294;0,083;0,629;0,01;0,066;0,008;0,017;0,424;0,002;0,003;0,003;0,74;0,0003;0,416;0,7809999999999999;0,006;0,013;0,009000000000000001;0,014;0,578;0,003;0,037000000000000005;3,2;39,1;1,2;4,7;0,09;2,5;15,9;5,2;59,4;0,6;5,1;0,07;2,6;22,9
1411;63,0;40,21666670000001;3,4229018;0,301856;0,117348;0,0399588;1549,0;1577,0;17,4345628;13449,8969072;116,6;1,0;23,372;0,097;0,05;0,042;0,02;0,050383;0,222;3624,0;0,002;0,514;0,316;0,084;0,755;0,01;0,059;0,016;0,017;0,473;0,002;0,004;0,003;0,79;0,0003;0,418;0,784;0,005;0,011;0,016;0,014;0,5710000000000001;0,003;0,038;3,5;52,5;0,8;6,6;0,1;3,0;17,8;4,9;60,7;0,5;9,2;0,06;2,8;21,7
1412;52,0;42,55;3,3648510000000003;0,28258;0,073059;0,0372916;1546,0;1584,0;11,859694500000002;13708,474576299996;111,3;1,0;16,820999999999998;0,086;0,05;0,042;0,02;0,04702;0,15;4044,0;0,003;0,498;0,342;0,097;0,752;0,01;0,077;0,014;0,015;0,495;0,003;0,004;0,003;0,787;0,0003;0,416;0,78;0,01;0,01;0,015;0,013;0,578;0,003;0,038;4,7;59,2;0,5;9,2;0,07;2,7;21,9;4,3;62,2;0,6;5,4;0,07;2,8;22,6
1413;51,0;43,55;2,4228188;0,35488000000000003;0,096297;0,0377214;1559,0;1580,0;12,6316877;12779,3233083;110,6;1,0;18,337000000000003;0,096;0,05;0,033;0,02;0,047562;0,23;3777,0;0,002;0,458;0,299;0,096;0,674;0,011;0,075;0,01;0,019;0,469;0,001;0,003;0,003;0,765;0,0002;0,428;0,785;0,006;0,014;0,011;0,012;0,57;0,003;0,037000000000000005;2,7;48,2;0,4;9,9;0,07;2,5;19,7;3,8;57,6;0,3;7,5;0,06;2,5;23,2
1414;47,0;40,5166667;2,0;0,336228;0,108996;0,0387255;1588,0;1580,0;10,1507832;11737,883959;115,2;1,0;13,681;0,17;0,05;0,051;0,02;0,048828;0,206;2866,0;0,002;0,454;0,319;0,08900000000000001;0,696;0,011;0,067;0,012;0,017;0,457;0,002;0,003;0,004;0,775;0,0005;0,421;0,7859999999999999;0,005;0,013;0,013;0,013;0,565;0,003;0,037000000000000005;3,7;48,1;0,5;9,3;0,11;2,6;18,4;5,1;58,3;0,5;8,6;0,06;2,6;22,6
1415;42,0;42,85;2,5773017000000005;0,33205300000000004;0,084024;0,0386398;1566,0;1587,0;14,0135356;12887,5739645;113,0;1,0;20,016;0,079;0,05;0,024;0,02;0,04872;0,141;4235,0;0,002;0,477;0,35;0,105;0,76;0,012;0,078;0,013;0,017;0,48;0,002;0,004;0,004;0,77;0,0005;0,417;0,787;0,011;0,013;0,015;0,013;0,5660000000000001;0,003;0,038;3,3;38,2;0,9;6,1;0,13;2,5;15,3;5,5;53,3;0,6;7,0;0,07;2,6;20,7
1416;42,0;44,8833333;2,0;0,292956;0,079809;0,0390126;1552,0;1570,0;14,6580022;12802,6666667;116,1;1,0;21,93;0,08;0,05;0,03;0,02;0,04919;0,202;4801,0;0,002;0,502;0,321;0,08900000000000001;0,731;0,011;0,064;0,014;0,017;0,491;0,002;0,004;0,003;0,7509999999999999;0,0001;0,418;0,787;0,005;0,012;0,015;0,014;0,5720000000000001;0,004;0,037000000000000005;3,5;51,8;0,3;6,5;0,08;2,9;17,6;5,3;53,5;0,5;5,8;0,06;2,8;19,4
1417;21,0;40,5333333;2,0;0,3697760000000001;0,110193;0,0386398;1568,0;1577,0;12,554852;12973,5241503;114,0;1,0;16,963;0,147;0,05;0,031;0,02;0,04872;0,182;4029,0;0,002;0,456;0,33;0,1;0,657;0,012;0,066;0,01;0,019;0,465;0,002;0,003;0,003;0,762;0,0001;0,418;0,7859999999999999;0,005;0,011;0,011;0,014;0,573;0,003;0,036000000000000004;4,2;48,4;0,6;8,1;0,11;2,6;18,5;5,4;59,2;1,0;7,3;0,07;2,6;22,7
1418;19,0;41,55;2,0;0,35893800000000003;0,07389;0,0382956;1581,0;1575,0;13,0079422;12626,6318538;112,7;1,0;18,016;0,052000000000000005;0,05;0,03;0,02;0,048286;0,196;4030,0;0,002;0,454;0,321;0,095;0,722;0,01;0,068;0,013;0,017;0,488;0,002;0,004;0,003;0,7759999999999999;0,0003;0,417;0,78;0,005;0,012;0,014;0,009000000000000001;0,546;0,003;0,036000000000000004;2,8;42,8;0,7;5,9;0,11;2,6;16,2;4,7;56,3;0,5;12,8;0,14;2,3;25,0
1419;19,0;48,3833333;2,0;0,36937;0,117765;0,0382092;1562,0;1592,0;14,5760937;13127,032386;113,2;1,0;23,508000000000006;0,079;0,05;0,04;0,02;0,048177;0,26;5517,0;0,002;0,397;0,289;0,119;0,62;0,012;0,078;0,006999999999999999;0,018000000000000002;0,457;0,002;0,003;0,003;0,7659999999999999;0,0001;0,413;0,7809999999999999;0,006;0,014;0,008;0,011;0,546;0,003;0,036000000000000004;4,7;58,7;0,6;12,5;0,13;2,6;23,0;4,3;50,1;0,7;7,1;0,08;2,5;20,1
1420;20,0;50,05;2,6777409;0,428323;0,121269;0,0399672;1577,0;1571,0;9,933715800000002;12867,3529412;116,6;1,0;16,352;0,07400000000000001;0,05;0,041;0,02;0,050166;0,261;4861,0;0,001;0,436;0,294;0,112;0,626;0,011;0,071;0,009000000000000001;0,019;0,447;0,001;0,003;0,003;0,7809999999999999;0,0001;0,418;0,78;0,006;0,013;0,01;0,016;0,5720000000000001;0,003;0,037000000000000005;3,5;50,6;0,5;8,6;0,14;2,7;18,9;5,5;63,1;0,4;3,3;0,07;2,8;22,5
1421;26,0;40,85;2,99082745;0,432482;0,12363699999999997;0,0392733;1583,0;1594,0;13,9152999;13309,4224924;113,1;1,0;18,948;0,086;0,05;0,048;0,02;0,04919;0,254;3649,0;0,001;0,43;0,293;0,096;0,628;0,011;0,07;0,008;0,018000000000000002;0,445;0,001;0,003;0,003;0,777;0,0001;0,418;0,7859999999999999;0,005;0,013;0,009000000000000001;0,011;0,564;0,003;0,036000000000000004;3,4;53,9;0,5;14,1;0,14;2,2;24,4;4,0;52,5;0,2;9,8;0,08;2,2;24,4
1422;14,0;44,4;2,99082745;0,418226;0,122378;0,0401396;1586,0;1583,0;17,5405405;13339,6973225;115,5;1,0;25,96;0,126;0,05;0,052000000000000005;0,02;0,050275;0,202;3183,0;0,002;0,354;0,324;0,09;0,674;0,01;0,059;0,009000000000000001;0,02;0,45;0,001;0,002;0,003;0,755;0,0001;0,422;0,787;0,004;0,011;0,011;0,015;0,565;0,003;0,037000000000000005;4,1;44,4;1,1;14,9;0,35;2,3;19,2;4,5;59,2;0,6;10,5;0,1;2,4;25,0
1423;16,0;43,2333333;2,99082745;0,4264060000000001;0,111499;0,039186300000000014;1568,0;1582,0;10,8991274;13134,6382979;114,1;1,0;15,613;0,106;0,05;0,042;0,02;0,049081;0,222;4287,0;0,002;0,416;0,313;0,084;0,638;0,011;0,067;0,006999999999999999;0,017;0,463;0,001;0,002;0,003;0,77;0,0001;0,42;0,792;0,005;0,012;0,008;0,014;0,573;0,003;0,037000000000000005;4,2;57,5;0,3;12,6;0,12;2,4;23,6;5,6;60,9;0,3;8,1;0,06;2,7;22,5
1424;11,0;44,0166667;3,3230287000000005;0,393864;0,103716;0,0386953;1555,0;1583,0;8,6714881;13211,6814159;114,1;1,0;12,723;0,07400000000000001;0,05;0,031;0,02;0,048466;0,188;4147,0;0,002;0,449;0,324;0,097;0,696;0,006;0,071;0,009000000000000001;0,017;0,483;0,002;0,003;0,003;0,762;0,0001;0,416;0,79;0,006;0,012;0,01;0,015;0,598;0,003;0,037000000000000005;4,1;63,2;0,4;10,0;0,08;3,0;21,2;5,2;55,4;0,7;9,3;0,12;2,5;22,4
1425;15,0;42,6833333;2,0361156000000005;0,381555;0,123496;0,039995;1557,0;1587,0;11,081140199999998;12310,6347898;117,3;1,0;15,765999999999998;0,168;0,05;0,039;0,02;0,050094;0,235;4148,0;0,002;0,447;0,311;0,086;0,687;0,009000000000000001;0,06;0,009000000000000001;0,017;0,469;0,002;0,003;0,003;0,774;0,0002;0,42;0,789;0,006;0,009000000000000001;0,01;0,013;0,569;0,003;0,036000000000000004;4,3;60,4;0,3;11,9;0,08;2,8;21,5;4,2;55,4;0,9;12,8;0,17;2,2;25,5
1426;16,0;45,85;3,2355353;0,33749;0,12298;0,0398505;1566,0;1629,0;11,8378913;13384,6733668;117,2;1,0;17,964000000000006;0,219;0,05;0,03;0,02;0,049913;0,26;5919,0;0,002;0,489;0,297;0,087;0,657;0,009000000000000001;0,058;0,009000000000000001;0,016;0,464;0,002;0,003;0,003;0,758;0,0001;0,419;0,7879999999999999;0,006999999999999999;0,01;0,01;0,011;0,563;0,003;0,037000000000000005;3,3;59,6;0,4;11,3;0,08;2,9;20,9;4,3;55,6;0,5;12,3;0,18;2,2;25,2
1427;28,0;41,8833333;3,4119367999999994;0,32052;0,111671;0,039706;1541,0;1600,0;15,9096077;13506,7064083;115,1;1,0;22,079;0,097;0,05;0,033;0,02;0,049732;0,24;5035,0;0,002;0,478;0,3;0,085;0,6920000000000001;0,011;0,066;0,01;0,016;0,468;0,002;0,003;0,004;0,785;0,0002;0,415;0,78;0,005;0,013;0,011;0,009000000000000001;0,56;0,003;0,037000000000000005;4,1;57,8;0,4;10,7;0,11;2,9;20,3;5,1;60,7;0,8;6,5;0,12;2,8;21,7
1428;28,0;49,85;2,5955102;0,341953;0,133042;0,040023800000000005;1574,0;1599,0;11,4938816;12644,8192771;117,5;1,0;19,099;0,08800000000000001;0,05;0,034;0,02;0,05013;0,201;4373,0;0,002;0,444;0,322;0,083;0,7070000000000001;0,01;0,069;0,013;0,019;0,452;0,002;0,004;0,004;0,768;0,0003;0,419;0,7829999999999999;0,004;0,013;0,014;0,014;0,5710000000000001;0,003;0,036000000000000004;4,2;58,8;0,7;15,9;0,09;2,8;20,7;5,3;58,9;0,8;11,2;0,12;2,8;21,1
